id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeConference,homeClassification,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayConference,awayClassification,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401544875,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,False,,5942.0,Francis G. Welch Stadium,2214,Emporia State University,Mid America,ii,56.0,"[14, 14, 14, 14]",,,,2876,Lincoln (MO),Independent DII,ii,10.0,"[7, 0, 3, 0]",,,,,,
401541984,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,True,,6067.0,Carnie Smith Stadium,90,Pittsburg St,Mid America,ii,34.0,"[0, 6, 7, 21]",,,,2687,Washburn,Mid America,ii,7.0,"[0, 0, 7, 0]",,,,,,
401541958,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,True,,6054.0,Fred G. Hughes Stadium,2403,Missouri Southern State,Mid America,ii,24.0,"[7, 10, 7, 0]",,,,138,Northwest Missouri St,Mid America,ii,31.0,"[0, 17, 7, 7]",,,,,,
401541939,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,True,,5878.0,Wantland Stadium,2122,Central Oklahoma,Mid America,ii,24.0,"[3, 14, 7, 0]",,,,2438,Nebraska-Kearney,Mid America,ii,21.0,"[7, 0, 7, 7]",,,,,,
401541928,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,True,,6055.0,Craig Field at Spratt Memorial Stadium,137,Missouri Western,Mid America,ii,38.0,"[7, 10, 7, 14]",,,,2118,Central Missouri,Mid America,ii,45.0,"[10, 14, 7, 14]",,,,,,
401541775,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,True,,6064.0,Crain Family Stadium,319,Oklahoma Baptist,Great American,ii,23.0,"[7, 6, 7, 3]",,,,2033,Arkansas Tech,Great American,ii,21.0,"[0, 7, 0, 14]",,,,,,
401541760,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,True,,5113.0,Ruggles Field at Carpenter-Haygood Stadium,2271,Henderson State,Great American,ii,41.0,"[3, 21, 10, 7]",,,,2191,East Central (OK),Great American,ii,13.0,"[7, 6, 0, 0]",,,,,,
401540745,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,False,,5883.0,Marv Kay Stadium at Campbell Field,2146,Colorado School Of Mines,Rocky Mountain,ii,31.0,"[7, 7, 14, 3]",,,,125,Grand Valley State University,GLIAC,ii,28.0,"[7, 0, 0, 21]",,,,,,
401550414,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,True,False,,6220.0,Trojan Stadium,512,Dakota State University,,,6.0,"[0, 0, 0, 6]",,,,2740,Wisconsin-Lacrosse,Wisconsin,iii,31.0,"[3, 14, 0, 14]",,,,,,
401531337,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,False,17529.0,3674.0,Chapman Stadium,202,Tulsa,American Athletic,fbs,42.0,"[0, 28, 7, 7]",0.9988560885578286,1418.0,1418.0,2029,Arkansas-Pine Bluff,SWAC,fcs,7.0,"[7, 0, 0, 0]",0.001143911442171408,,,3.7137518758,,
401520176,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,False,53644.0,587.0,Rice-Eccles Stadium,254,Utah,Pac-12,fbs,24.0,"[7, 10, 7, 0]",0.9381725457920445,1776.0,1784.0,57,Florida,SEC,fbs,11.0,"[3, 0, 0, 8]",0.061827454207955546,1554.0,1546.0,2.9381887071,,
401520165,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,False,50434.0,3838.0,Memorial Stadium,142,Missouri,SEC,fbs,35.0,"[14, 14, 0, 7]",0.9978555091746407,1480.0,1480.0,233,South Dakota,MVFC,fcs,10.0,"[0, 3, 0, 7]",0.00214449082535928,,,3.0673258772,,
401540278,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,False,,5440.0,Wildcat Stadium (TX),2000,Abilene Christian,UAC,fcs,31.0,"[14, 7, 10, 0]",0.9989293593809496,,,2458,Northern Colorado,Big Sky,fcs,11.0,"[0, 3, 0, 8]",0.001070640619050378,,,2.6614642116,,
401540463,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,False,,5237.0,Dana J. Dykhouse Stadium,2571,South Dakota State,MVFC,fcs,45.0,"[21, 21, 3, 0]",0.9989717818393455,,,2848,Western Oregon,Lone Star,ii,7.0,"[0, 0, 0, 7]",0.0010282181606544594,,,1.9381977834,,
401551490,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,False,,5938.0,Al Whitehead Field at Greyhound Stadium,2201,Eastern New Mexico,Lone Star,ii,28.0,"[7, 14, 0, 7]",,,,2424,New Mexico Highlands,Rocky Mountain,ii,26.0,"[0, 0, 13, 13]",,,,,,
401549650,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,False,,3945.0,Strong Stadium,266,Beloit,Midwest,iii,34.0,"[0, 10, 14, 10]",,,,2524,Rockford,NACC,iii,27.0,"[7, 7, 7, 6]",,,,,,
401541923,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,False,,3942.0,Stewart Stadium,2692,Weber State,Big Sky,fcs,35.0,"[14, 0, 21, 0]",,,,2120,Central Washington,Lone Star,ii,10.0,"[7, 3, 0, 0]",,,,,,
401531377,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,False,25363.0,7221.0,Protective Stadium,5,UAB,American Athletic,fbs,35.0,"[7, 14, 7, 7]",0.9989372376296379,1510.0,1510.0,2448,North Carolina A&T,CAA,fcs,6.0,"[3, 0, 0, 3]",0.0010627623703620692,,,3.0895999027,,
401520148,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,True,53629.0,3953.0,Huntington Bank Stadium,135,Minnesota,Big Ten,fbs,13.0,"[0, 3, 0, 10]",0.047056199428105606,1672.0,1671.0,158,Nebraska,Big Ten,fbs,10.0,"[0, 0, 7, 3]",0.9529438005718944,1521.0,1522.0,7.656757772,,
401550428,2023,1,regular,2023-09-01 00:00:00+00:00,False,True,False,False,,3749.0,Hunter Stadium,2815,Lindenwood,Big South-OVC,fcs,77.0,"[21, 35, 7, 14]",0.9989709362300486,,,2743,Wisconsin-Stevens Pt,Wisconsin,iii,9.0,"[0, 0, 2, 7]",0.0010290637699513772,,,2.1849370661,,
